player,nation,position,primary_position,metric,value,metric_label
Freddie Woodman,eng ENG,GK,GK,shots_on_target,0.0,Shots On Target
Wataru Endo,jp JPN,DF,DF,shots_on_target,0.0,Shots On Target
Trey Nyoni,eng ENG,MF,MF,shots_on_target,0.0,Shots On Target
Harvey Elliott,eng ENG,"FW,MF",FW,shots_on_target,0.0,Shots On Target
Virgil van Dijk,nl NED,DF,DF,shots_on_target_pct,44.4,Shots On Target Pct
Dominik Szoboszlai,hu HUN,"MF,DF",MF,shots_on_target_pct,30.9,Shots On Target Pct
Ibrahima Konaté,fr FRA,DF,DF,shots_on_target_pct,30.0,Shots On Target Pct
Ryan Gravenberch,nl NED,MF,MF,shots_on_target_pct,31.4,Shots On Target Pct
Cody Gakpo,nl NED,"MF,FW",MF,shots_on_target_pct,25.3,Shots On Target Pct
Alexis Mac Allister,ar ARG,MF,MF,shots_on_target_pct,23.4,Shots On Target Pct
Florian Wirtz,de GER,MF,MF,shots_on_target_pct,35.4,Shots On Target Pct
Milos Kerkez,hu HUN,DF,DF,shots_on_target_pct,25.0,Shots On Target Pct
Mohamed Salah,eg EGY,MF,MF,shots_on_target_pct,26.6,Shots On Target Pct
Hugo Ekitike,fr FRA,FW,FW,shots_on_target_pct,29.2,Shots On Target Pct
Curtis Jones,eng ENG,"MF,DF",MF,shots_on_target_pct,31.6,Shots On Target Pct
Andrew Robertson,sct SCO,DF,DF,shots_on_target_pct,33.3,Shots On Target Pct
Jeremie Frimpong,nl NED,"DF,MF",DF,shots_on_target_pct,20.0,Shots On Target Pct
Conor Bradley,nir NIR,DF,DF,shots_on_target_pct,0.0,Shots On Target Pct
Alexander Isak,se SWE,FW,FW,shots_on_target_pct,35.3,Shots On Target Pct
Joe Gomez,eng ENG,DF,DF,shots_on_target_pct,33.3,Shots On Target Pct
Rio Ngumoha,eng ENG,MF,MF,shots_on_target_pct,54.5,Shots On Target Pct
Federico Chiesa,it ITA,MF,MF,shots_on_target_pct,25.0,Shots On Target Pct
Wataru Endo,jp JPN,DF,DF,shots_on_target_pct,0.0,Shots On Target Pct
Trey Nyoni,eng ENG,MF,MF,shots_on_target_pct,0.0,Shots On Target Pct
Virgil van Dijk,nl NED,DF,DF,shots_per90,0.75,Shots Per90
Dominik Szoboszlai,hu HUN,"MF,DF",MF,shots_per90,2.01,Shots Per90
Ibrahima Konaté,fr FRA,DF,DF,shots_per90,0.31,Shots Per90
Ryan Gravenberch,nl NED,MF,MF,shots_per90,1.11,Shots Per90
Cody Gakpo,nl NED,"MF,FW",MF,shots_per90,2.9,Shots Per90
Alexis Mac Allister,ar ARG,MF,MF,shots_per90,1.71,Shots Per90
Florian Wirtz,de GER,MF,MF,shots_per90,1.85,Shots Per90
Alisson,br BRA,GK,GK,shots_per90,0.0,Shots Per90
Milos Kerkez,hu HUN,DF,DF,shots_per90,0.33,Shots Per90
Mohamed Salah,eg EGY,MF,MF,shots_per90,2.8,Shots Per90
Hugo Ekitike,fr FRA,FW,FW,shots_per90,3.24,Shots Per90
Curtis Jones,eng ENG,"MF,DF",MF,shots_per90,0.97,Shots Per90
Andrew Robertson,sct SCO,DF,DF,shots_per90,0.74,Shots Per90
Jeremie Frimpong,nl NED,"DF,MF",DF,shots_per90,0.88,Shots Per90
Conor Bradley,nir NIR,DF,DF,shots_per90,0.58,Shots Per90
Giorgi Mamardashvili,ge GEO,GK,GK,shots_per90,0.0,Shots Per90
Alexander Isak,se SWE,FW,FW,shots_per90,2.19,Shots Per90
Joe Gomez,eng ENG,DF,DF,shots_per90,0.5,Shots Per90
Rio Ngumoha,eng ENG,MF,MF,shots_per90,2.49,Shots Per90
Federico Chiesa,it ITA,MF,MF,shots_per90,4.59,Shots Per90
Freddie Woodman,eng ENG,GK,GK,shots_per90,0.0,Shots Per90
Wataru Endo,jp JPN,DF,DF,shots_per90,0.51,Shots Per90
Trey Nyoni,eng ENG,MF,MF,shots_per90,5.63,Shots Per90
Harvey Elliott,eng ENG,"FW,MF",FW,shots_per90,0.0,Shots Per90
Virgil van Dijk,nl NED,DF,DF,shots_on_target_per90,0.33,Shots On Target Per90
Dominik Szoboszlai,hu HUN,"MF,DF",MF,shots_on_target_per90,0.62,Shots On Target Per90
Ibrahima Konaté,fr FRA,DF,DF,shots_on_target_per90,0.09,Shots On Target Per90
Ryan Gravenberch,nl NED,MF,MF,shots_on_target_per90,0.35,Shots On Target Per90
Cody Gakpo,nl NED,"MF,FW",MF,shots_on_target_per90,0.73,Shots On Target Per90
Alexis Mac Allister,ar ARG,MF,MF,shots_on_target_per90,0.4,Shots On Target Per90
Florian Wirtz,de GER,MF,MF,shots_on_target_per90,0.66,Shots On Target Per90
Alisson,br BRA,GK,GK,shots_on_target_per90,0.0,Shots On Target Per90
Milos Kerkez,hu HUN,DF,DF,shots_on_target_per90,0.08,Shots On Target Per90
Mohamed Salah,eg EGY,MF,MF,shots_on_target_per90,0.74,Shots On Target Per90
Hugo Ekitike,fr FRA,FW,FW,shots_on_target_per90,0.95,Shots On Target Per90
Curtis Jones,eng ENG,"MF,DF",MF,shots_on_target_per90,0.31,Shots On Target Per90
Andrew Robertson,sct SCO,DF,DF,shots_on_target_per90,0.25,Shots On Target Per90
Jeremie Frimpong,nl NED,"DF,MF",DF,shots_on_target_per90,0.18,Shots On Target Per90
Conor Bradley,nir NIR,DF,DF,shots_on_target_per90,0.0,Shots On Target Per90
Giorgi Mamardashvili,ge GEO,GK,GK,shots_on_target_per90,0.0,Shots On Target Per90
Alexander Isak,se SWE,FW,FW,shots_on_target_per90,0.77,Shots On Target Per90
Joe Gomez,eng ENG,DF,DF,shots_on_target_per90,0.17,Shots On Target Per90
Rio Ngumoha,eng ENG,MF,MF,shots_on_target_per90,1.36,Shots On Target Per90
Federico Chiesa,it ITA,MF,MF,shots_on_target_per90,1.15,Shots On Target Per90
Freddie Woodman,eng ENG,GK,GK,shots_on_target_per90,0.0,Shots On Target Per90
Wataru Endo,jp JPN,DF,DF,shots_on_target_per90,0.0,Shots On Target Per90
Trey Nyoni,eng ENG,MF,MF,shots_on_target_per90,0.0,Shots On Target Per90
Harvey Elliott,eng ENG,"FW,MF",FW,shots_on_target_per90,0.0,Shots On Target Per90
Virgil van Dijk,nl NED,DF,DF,team_points_per_match_when_playing,1.64,Team Points Per Match When Playing
Dominik Szoboszlai,hu HUN,"MF,DF",MF,team_points_per_match_when_playing,1.56,Team Points Per Match When Playing
Ibrahima Konaté,fr FRA,DF,DF,team_points_per_match_when_playing,1.71,Team Points Per Match When Playing
Ryan Gravenberch,nl NED,MF,MF,team_points_per_match_when_playing,1.65,Team Points Per Match When Playing
Cody Gakpo,nl NED,"MF,FW",MF,team_points_per_match_when_playing,1.56,Team Points Per Match When Playing
Alexis Mac Allister,ar ARG,MF,MF,team_points_per_match_when_playing,1.6,Team Points Per Match When Playing
Florian Wirtz,de GER,MF,MF,team_points_per_match_when_playing,1.68,Team Points Per Match When Playing
Alisson,br BRA,GK,GK,team_points_per_match_when_playing,1.84,Team Points Per Match When Playing
Milos Kerkez,hu HUN,DF,DF,team_points_per_match_when_playing,1.53,Team Points Per Match When Playing
Mohamed Salah,eg EGY,MF,MF,team_points_per_match_when_playing,1.76,Team Points Per Match When Playing
Hugo Ekitike,fr FRA,FW,FW,team_points_per_match_when_playing,1.68,Team Points Per Match When Playing
Curtis Jones,eng ENG,"MF,DF",MF,team_points_per_match_when_playing,1.53,Team Points Per Match When Playing
Andrew Robertson,sct SCO,DF,DF,team_points_per_match_when_playing,1.61,Team Points Per Match When Playing
Jeremie Frimpong,nl NED,"DF,MF",DF,team_points_per_match_when_playing,1.5,Team Points Per Match When Playing
Conor Bradley,nir NIR,DF,DF,team_points_per_match_when_playing,1.47,Team Points Per Match When Playing
Giorgi Mamardashvili,ge GEO,GK,GK,team_points_per_match_when_playing,1.11,Team Points Per Match When Playing
Alexander Isak,se SWE,FW,FW,team_points_per_match_when_playing,1.71,Team Points Per Match When Playing
Joe Gomez,eng ENG,DF,DF,team_points_per_match_when_playing,1.74,Team Points Per Match When Playing
Rio Ngumoha,eng ENG,MF,MF,team_points_per_match_when_playing,1.29,Team Points Per Match When Playing
Federico Chiesa,it ITA,MF,MF,team_points_per_match_when_playing,1.44,Team Points Per Match When Playing
Freddie Woodman,eng ENG,GK,GK,team_points_per_match_when_playing,2.0,Team Points Per Match When Playing
Wataru Endo,jp JPN,DF,DF,team_points_per_match_when_playing,2.0,Team Points Per Match When Playing
Trey Nyoni,eng ENG,MF,MF,team_points_per_match_when_playing,2.6,Team Points Per Match When Playing
Harvey Elliott,eng ENG,"FW,MF",FW,team_points_per_match_when_playing,3.0,Team Points Per Match When Playing
Virgil van Dijk,nl NED,DF,DF,team_goals_on_pitch,60.0,Team Goals On Pitch
Dominik Szoboszlai,hu HUN,"MF,DF",MF,team_goals_on_pitch,57.0,Team Goals On Pitch
Ibrahima Konaté,fr FRA,DF,DF,team_goals_on_pitch,52.0,Team Goals On Pitch
Ryan Gravenberch,nl NED,MF,MF,team_goals_on_pitch,48.0,Team Goals On Pitch
Cody Gakpo,nl NED,"MF,FW",MF,team_goals_on_pitch,46.0,Team Goals On Pitch
Alexis Mac Allister,ar ARG,MF,MF,team_goals_on_pitch,42.0,Team Goals On Pitch
Florian Wirtz,de GER,MF,MF,team_goals_on_pitch,37.0,Team Goals On Pitch
Alisson,br BRA,GK,GK,team_goals_on_pitch,43.0,Team Goals On Pitch
Milos Kerkez,hu HUN,DF,DF,team_goals_on_pitch,39.0,Team Goals On Pitch
Mohamed Salah,eg EGY,MF,MF,team_goals_on_pitch,38.0,Team Goals On Pitch
Hugo Ekitike,fr FRA,FW,FW,team_goals_on_pitch,35.0,Team Goals On Pitch
Curtis Jones,eng ENG,"MF,DF",MF,team_goals_on_pitch,35.0,Team Goals On Pitch
Andrew Robertson,sct SCO,DF,DF,team_goals_on_pitch,21.0,Team Goals On Pitch
Jeremie Frimpong,nl NED,"DF,MF",DF,team_goals_on_pitch,20.0,Team Goals On Pitch
Conor Bradley,nir NIR,DF,DF,team_goals_on_pitch,11.0,Team Goals On Pitch
Giorgi Mamardashvili,ge GEO,GK,GK,team_goals_on_pitch,11.0,Team Goals On Pitch
Alexander Isak,se SWE,FW,FW,team_goals_on_pitch,7.0,Team Goals On Pitch
Joe Gomez,eng ENG,DF,DF,team_goals_on_pitch,16.0,Team Goals On Pitch
Rio Ngumoha,eng ENG,MF,MF,team_goals_on_pitch,13.0,Team Goals On Pitch
Federico Chiesa,it ITA,MF,MF,team_goals_on_pitch,14.0,Team Goals On Pitch
Freddie Woodman,eng ENG,GK,GK,team_goals_on_pitch,6.0,Team Goals On Pitch
Wataru Endo,jp JPN,DF,DF,team_goals_on_pitch,6.0,Team Goals On Pitch
Trey Nyoni,eng ENG,MF,MF,team_goals_on_pitch,0.0,Team Goals On Pitch
Harvey Elliott,eng ENG,"FW,MF",FW,team_goals_on_pitch,1.0,Team Goals On Pitch
Virgil van Dijk,nl NED,DF,DF,team_goals_against_on_pitch,48.0,Team Goals Against On Pitch
Dominik Szoboszlai,hu HUN,"MF,DF",MF,team_goals_against_on_pitch,46.0,Team Goals Against On Pitch
Ibrahima Konaté,fr FRA,DF,DF,team_goals_against_on_pitch,40.0,Team Goals Against On Pitch
Ryan Gravenberch,nl NED,MF,MF,team_goals_against_on_pitch,39.0,Team Goals Against On Pitch
Cody Gakpo,nl NED,"MF,FW",MF,team_goals_against_on_pitch,35.0,Team Goals Against On Pitch
Alexis Mac Allister,ar ARG,MF,MF,team_goals_against_on_pitch,36.0,Team Goals Against On Pitch
Florian Wirtz,de GER,MF,MF,team_goals_against_on_pitch,30.0,Team Goals Against On Pitch
Alisson,br BRA,GK,GK,team_goals_against_on_pitch,30.0,Team Goals Against On Pitch
Milos Kerkez,hu HUN,DF,DF,team_goals_against_on_pitch,32.0,Team Goals Against On Pitch
Mohamed Salah,eg EGY,MF,MF,team_goals_against_on_pitch,33.0,Team Goals Against On Pitch
Hugo Ekitike,fr FRA,FW,FW,team_goals_against_on_pitch,25.0,Team Goals Against On Pitch
Curtis Jones,eng ENG,"MF,DF",MF,team_goals_against_on_pitch,33.0,Team Goals Against On Pitch
Andrew Robertson,sct SCO,DF,DF,team_goals_against_on_pitch,15.0,Team Goals Against On Pitch
Jeremie Frimpong,nl NED,"DF,MF",DF,team_goals_against_on_pitch,13.0,Team Goals Against On Pitch
Conor Bradley,nir NIR,DF,DF,team_goals_against_on_pitch,13.0,Team Goals Against On Pitch
Giorgi Mamardashvili,ge GEO,GK,GK,team_goals_against_on_pitch,14.0,Team Goals Against On Pitch
Alexander Isak,se SWE,FW,FW,team_goals_against_on_pitch,9.0,Team Goals Against On Pitch
Joe Gomez,eng ENG,DF,DF,team_goals_against_on_pitch,12.0,Team Goals Against On Pitch
Rio Ngumoha,eng ENG,MF,MF,team_goals_against_on_pitch,6.0,Team Goals Against On Pitch
Federico Chiesa,it ITA,MF,MF,team_goals_against_on_pitch,7.0,Team Goals Against On Pitch
Freddie Woodman,eng ENG,GK,GK,team_goals_against_on_pitch,4.0,Team Goals Against On Pitch
Wataru Endo,jp JPN,DF,DF,team_goals_against_on_pitch,5.0,Team Goals Against On Pitch
Trey Nyoni,eng ENG,MF,MF,team_goals_against_on_pitch,1.0,Team Goals Against On Pitch
Harvey Elliott,eng ENG,"FW,MF",FW,team_goals_against_on_pitch,0.0,Team Goals Against On Pitch
Virgil van Dijk,nl NED,DF,DF,team_goal_diff_on_pitch,12.0,Team Goal Diff On Pitch
Dominik Szoboszlai,hu HUN,"MF,DF",MF,team_goal_diff_on_pitch,11.0,Team Goal Diff On Pitch
Ibrahima Konaté,fr FRA,DF,DF,team_goal_diff_on_pitch,12.0,Team Goal Diff On Pitch
Ryan Gravenberch,nl NED,MF,MF,team_goal_diff_on_pitch,9.0,Team Goal Diff On Pitch
Cody Gakpo,nl NED,"MF,FW",MF,team_goal_diff_on_pitch,11.0,Team Goal Diff On Pitch
Alexis Mac Allister,ar ARG,MF,MF,team_goal_diff_on_pitch,6.0,Team Goal Diff On Pitch
Florian Wirtz,de GER,MF,MF,team_goal_diff_on_pitch,7.0,Team Goal Diff On Pitch
Alisson,br BRA,GK,GK,team_goal_diff_on_pitch,13.0,Team Goal Diff On Pitch
Milos Kerkez,hu HUN,DF,DF,team_goal_diff_on_pitch,7.0,Team Goal Diff On Pitch
Mohamed Salah,eg EGY,MF,MF,team_goal_diff_on_pitch,5.0,Team Goal Diff On Pitch
Hugo Ekitike,fr FRA,FW,FW,team_goal_diff_on_pitch,10.0,Team Goal Diff On Pitch
Curtis Jones,eng ENG,"MF,DF",MF,team_goal_diff_on_pitch,2.0,Team Goal Diff On Pitch
Andrew Robertson,sct SCO,DF,DF,team_goal_diff_on_pitch,6.0,Team Goal Diff On Pitch
Jeremie Frimpong,nl NED,"DF,MF",DF,team_goal_diff_on_pitch,7.0,Team Goal Diff On Pitch
Conor Bradley,nir NIR,DF,DF,team_goal_diff_on_pitch,-2.0,Team Goal Diff On Pitch
Giorgi Mamardashvili,ge GEO,GK,GK,team_goal_diff_on_pitch,-3.0,Team Goal Diff On Pitch
Alexander Isak,se SWE,FW,FW,team_goal_diff_on_pitch,-2.0,Team Goal Diff On Pitch
Joe Gomez,eng ENG,DF,DF,team_goal_diff_on_pitch,4.0,Team Goal Diff On Pitch
Rio Ngumoha,eng ENG,MF,MF,team_goal_diff_on_pitch,7.0,Team Goal Diff On Pitch
Federico Chiesa,it ITA,MF,MF,team_goal_diff_on_pitch,7.0,Team Goal Diff On Pitch
Freddie Woodman,eng ENG,GK,GK,team_goal_diff_on_pitch,2.0,Team Goal Diff On Pitch
Wataru Endo,jp JPN,DF,DF,team_goal_diff_on_pitch,1.0,Team Goal Diff On Pitch
Trey Nyoni,eng ENG,MF,MF,team_goal_diff_on_pitch,-1.0,Team Goal Diff On Pitch
Harvey Elliott,eng ENG,"FW,MF",FW,team_goal_diff_on_pitch,1.0,Team Goal Diff On Pitch
Virgil van Dijk,nl NED,DF,DF,fouls_committed,18.0,Fouls Committed
Dominik Szoboszlai,hu HUN,"MF,DF",MF,fouls_committed,38.0,Fouls Committed
Ibrahima Konaté,fr FRA,DF,DF,fouls_committed,32.0,Fouls Committed
Ryan Gravenberch,nl NED,MF,MF,fouls_committed,35.0,Fouls Committed
Cody Gakpo,nl NED,"MF,FW",MF,fouls_committed,42.0,Fouls Committed
Alexis Mac Allister,ar ARG,MF,MF,fouls_committed,33.0,Fouls Committed
Florian Wirtz,de GER,MF,MF,fouls_committed,21.0,Fouls Committed
Alisson,br BRA,GK,GK,fouls_committed,1.0,Fouls Committed
Milos Kerkez,hu HUN,DF,DF,fouls_committed,22.0,Fouls Committed
Mohamed Salah,eg EGY,MF,MF,fouls_committed,10.0,Fouls Committed
Hugo Ekitike,fr FRA,FW,FW,fouls_committed,35.0,Fouls Committed
Curtis Jones,eng ENG,"MF,DF",MF,fouls_committed,16.0,Fouls Committed
Andrew Robertson,sct SCO,DF,DF,fouls_committed,4.0,Fouls Committed
Jeremie Frimpong,nl NED,"DF,MF",DF,fouls_committed,8.0,Fouls Committed
Conor Bradley,nir NIR,DF,DF,fouls_committed,18.0,Fouls Committed
Giorgi Mamardashvili,ge GEO,GK,GK,fouls_committed,1.0,Fouls Committed
Alexander Isak,se SWE,FW,FW,fouls_committed,5.0,Fouls Committed
Joe Gomez,eng ENG,DF,DF,fouls_committed,12.0,Fouls Committed
Rio Ngumoha,eng ENG,MF,MF,fouls_committed,3.0,Fouls Committed
Federico Chiesa,it ITA,MF,MF,fouls_committed,10.0,Fouls Committed
Freddie Woodman,eng ENG,GK,GK,fouls_committed,0.0,Fouls Committed
Wataru Endo,jp JPN,DF,DF,fouls_committed,2.0,Fouls Committed
Trey Nyoni,eng ENG,MF,MF,fouls_committed,0.0,Fouls Committed
Harvey Elliott,eng ENG,"FW,MF",FW,fouls_committed,0.0,Fouls Committed
Virgil van Dijk,nl NED,DF,DF,fouls_drawn,16.0,Fouls Drawn
Dominik Szoboszlai,hu HUN,"MF,DF",MF,fouls_drawn,29.0,Fouls Drawn
Ibrahima Konaté,fr FRA,DF,DF,fouls_drawn,39.0,Fouls Drawn
Ryan Gravenberch,nl NED,MF,MF,fouls_drawn,39.0,Fouls Drawn
Cody Gakpo,nl NED,"MF,FW",MF,fouls_drawn,42.0,Fouls Drawn
Alexis Mac Allister,ar ARG,MF,MF,fouls_drawn,31.0,Fouls Drawn
Florian Wirtz,de GER,MF,MF,fouls_drawn,19.0,Fouls Drawn
Alisson,br BRA,GK,GK,fouls_drawn,7.0,Fouls Drawn
Milos Kerkez,hu HUN,DF,DF,fouls_drawn,27.0,Fouls Drawn
Mohamed Salah,eg EGY,MF,MF,fouls_drawn,16.0,Fouls Drawn
Hugo Ekitike,fr FRA,FW,FW,fouls_drawn,12.0,Fouls Drawn
Curtis Jones,eng ENG,"MF,DF",MF,fouls_drawn,28.0,Fouls Drawn
Andrew Robertson,sct SCO,DF,DF,fouls_drawn,1.0,Fouls Drawn
Jeremie Frimpong,nl NED,"DF,MF",DF,fouls_drawn,21.0,Fouls Drawn
Conor Bradley,nir NIR,DF,DF,fouls_drawn,20.0,Fouls Drawn
Giorgi Mamardashvili,ge GEO,GK,GK,fouls_drawn,2.0,Fouls Drawn
Alexander Isak,se SWE,FW,FW,fouls_drawn,1.0,Fouls Drawn
Joe Gomez,eng ENG,DF,DF,fouls_drawn,0.0,Fouls Drawn
Rio Ngumoha,eng ENG,MF,MF,fouls_drawn,8.0,Fouls Drawn
Federico Chiesa,it ITA,MF,MF,fouls_drawn,6.0,Fouls Drawn
Freddie Woodman,eng ENG,GK,GK,fouls_drawn,0.0,Fouls Drawn
Wataru Endo,jp JPN,DF,DF,fouls_drawn,3.0,Fouls Drawn
Trey Nyoni,eng ENG,MF,MF,fouls_drawn,0.0,Fouls Drawn
Harvey Elliott,eng ENG,"FW,MF",FW,fouls_drawn,0.0,Fouls Drawn
Virgil van Dijk,nl NED,DF,DF,crosses,1.0,Crosses
Dominik Szoboszlai,hu HUN,"MF,DF",MF,crosses,188.0,Crosses
Ibrahima Konaté,fr FRA,DF,DF,crosses,3.0,Crosses
Ryan Gravenberch,nl NED,MF,MF,crosses,7.0,Crosses
Cody Gakpo,nl NED,"MF,FW",MF,crosses,86.0,Crosses
Alexis Mac Allister,ar ARG,MF,MF,crosses,19.0,Crosses
Florian Wirtz,de GER,MF,MF,crosses,32.0,Crosses
Alisson,br BRA,GK,GK,crosses,0.0,Crosses
Milos Kerkez,hu HUN,DF,DF,crosses,77.0,Crosses
Mohamed Salah,eg EGY,MF,MF,crosses,107.0,Crosses
Hugo Ekitike,fr FRA,FW,FW,crosses,7.0,Crosses
Curtis Jones,eng ENG,"MF,DF",MF,crosses,12.0,Crosses
Andrew Robertson,sct SCO,DF,DF,crosses,48.0,Crosses
Jeremie Frimpong,nl NED,"DF,MF",DF,crosses,50.0,Crosses
Conor Bradley,nir NIR,DF,DF,crosses,23.0,Crosses
Giorgi Mamardashvili,ge GEO,GK,GK,crosses,0.0,Crosses
Alexander Isak,se SWE,FW,FW,crosses,2.0,Crosses
Joe Gomez,eng ENG,DF,DF,crosses,15.0,Crosses
Rio Ngumoha,eng ENG,MF,MF,crosses,15.0,Crosses
Federico Chiesa,it ITA,MF,MF,crosses,16.0,Crosses
Freddie Woodman,eng ENG,GK,GK,crosses,0.0,Crosses
Wataru Endo,jp JPN,DF,DF,crosses,3.0,Crosses
Trey Nyoni,eng ENG,MF,MF,crosses,0.0,Crosses
Harvey Elliott,eng ENG,"FW,MF",FW,crosses,0.0,Crosses
Virgil van Dijk,nl NED,DF,DF,interceptions,21.0,Interceptions
Dominik Szoboszlai,hu HUN,"MF,DF",MF,interceptions,28.0,Interceptions
Ibrahima Konaté,fr FRA,DF,DF,interceptions,28.0,Interceptions
Ryan Gravenberch,nl NED,MF,MF,interceptions,42.0,Interceptions
Cody Gakpo,nl NED,"MF,FW",MF,interceptions,11.0,Interceptions
Alexis Mac Allister,ar ARG,MF,MF,interceptions,17.0,Interceptions
Florian Wirtz,de GER,MF,MF,interceptions,11.0,Interceptions
Alisson,br BRA,GK,GK,interceptions,0.0,Interceptions
Milos Kerkez,hu HUN,DF,DF,interceptions,14.0,Interceptions
Mohamed Salah,eg EGY,MF,MF,interceptions,3.0,Interceptions
Hugo Ekitike,fr FRA,FW,FW,interceptions,4.0,Interceptions
Curtis Jones,eng ENG,"MF,DF",MF,interceptions,16.0,Interceptions
Andrew Robertson,sct SCO,DF,DF,interceptions,6.0,Interceptions
Jeremie Frimpong,nl NED,"DF,MF",DF,interceptions,6.0,Interceptions
Conor Bradley,nir NIR,DF,DF,interceptions,12.0,Interceptions
Giorgi Mamardashvili,ge GEO,GK,GK,interceptions,1.0,Interceptions
Alexander Isak,se SWE,FW,FW,interceptions,0.0,Interceptions
Joe Gomez,eng ENG,DF,DF,interceptions,8.0,Interceptions
Rio Ngumoha,eng ENG,MF,MF,interceptions,3.0,Interceptions
Federico Chiesa,it ITA,MF,MF,interceptions,4.0,Interceptions
Freddie Woodman,eng ENG,GK,GK,interceptions,0.0,Interceptions
Wataru Endo,jp JPN,DF,DF,interceptions,0.0,Interceptions
Trey Nyoni,eng ENG,MF,MF,interceptions,0.0,Interceptions
Harvey Elliott,eng ENG,"FW,MF",FW,interceptions,0.0,Interceptions
Virgil van Dijk,nl NED,DF,DF,tackles_won,15.0,Tackles Won
Dominik Szoboszlai,hu HUN,"MF,DF",MF,tackles_won,32.0,Tackles Won
Ibrahima Konaté,fr FRA,DF,DF,tackles_won,30.0,Tackles Won
Ryan Gravenberch,nl NED,MF,MF,tackles_won,33.0,Tackles Won
Cody Gakpo,nl NED,"MF,FW",MF,tackles_won,15.0,Tackles Won
Alexis Mac Allister,ar ARG,MF,MF,tackles_won,25.0,Tackles Won
Florian Wirtz,de GER,MF,MF,tackles_won,25.0,Tackles Won
Alisson,br BRA,GK,GK,tackles_won,0.0,Tackles Won
Milos Kerkez,hu HUN,DF,DF,tackles_won,26.0,Tackles Won
Mohamed Salah,eg EGY,MF,MF,tackles_won,12.0,Tackles Won
Hugo Ekitike,fr FRA,FW,FW,tackles_won,7.0,Tackles Won
Curtis Jones,eng ENG,"MF,DF",MF,tackles_won,20.0,Tackles Won
Andrew Robertson,sct SCO,DF,DF,tackles_won,10.0,Tackles Won
Jeremie Frimpong,nl NED,"DF,MF",DF,tackles_won,9.0,Tackles Won
Conor Bradley,nir NIR,DF,DF,tackles_won,15.0,Tackles Won
Giorgi Mamardashvili,ge GEO,GK,GK,tackles_won,1.0,Tackles Won
Alexander Isak,se SWE,FW,FW,tackles_won,6.0,Tackles Won
Joe Gomez,eng ENG,DF,DF,tackles_won,7.0,Tackles Won
Rio Ngumoha,eng ENG,MF,MF,tackles_won,1.0,Tackles Won
Federico Chiesa,it ITA,MF,MF,tackles_won,5.0,Tackles Won
Freddie Woodman,eng ENG,GK,GK,tackles_won,0.0,Tackles Won
Wataru Endo,jp JPN,DF,DF,tackles_won,3.0,Tackles Won
Trey Nyoni,eng ENG,MF,MF,tackles_won,0.0,Tackles Won
Harvey Elliott,eng ENG,"FW,MF",FW,tackles_won,0.0,Tackles Won
