player,nation,position,primary_position,metric,value,metric_label
Ryan Gravenberch,nl NED,MF,MF,non_penalty_goals,5.0,Non Penalty Goals
Cody Gakpo,nl NED,"MF,FW",MF,non_penalty_goals,7.0,Non Penalty Goals
Alexis Mac Allister,ar ARG,MF,MF,non_penalty_goals,2.0,Non Penalty Goals
Florian Wirtz,de GER,MF,MF,non_penalty_goals,5.0,Non Penalty Goals
Alisson,br BRA,GK,GK,non_penalty_goals,0.0,Non Penalty Goals
Milos Kerkez,hu HUN,DF,DF,non_penalty_goals,2.0,Non Penalty Goals
Mohamed Salah,eg EGY,MF,MF,non_penalty_goals,6.0,Non Penalty Goals
Hugo Ekitike,fr FRA,FW,FW,non_penalty_goals,11.0,Non Penalty Goals
Curtis Jones,eng ENG,"MF,DF",MF,non_penalty_goals,0.0,Non Penalty Goals
Andrew Robertson,sct SCO,DF,DF,non_penalty_goals,1.0,Non Penalty Goals
Jeremie Frimpong,nl NED,"DF,MF",DF,non_penalty_goals,0.0,Non Penalty Goals
Conor Bradley,nir NIR,DF,DF,non_penalty_goals,0.0,Non Penalty Goals
Giorgi Mamardashvili,ge GEO,GK,GK,non_penalty_goals,0.0,Non Penalty Goals
Alexander Isak,se SWE,FW,FW,non_penalty_goals,3.0,Non Penalty Goals
Joe Gomez,eng ENG,DF,DF,non_penalty_goals,0.0,Non Penalty Goals
Rio Ngumoha,eng ENG,MF,MF,non_penalty_goals,2.0,Non Penalty Goals
Federico Chiesa,it ITA,MF,MF,non_penalty_goals,2.0,Non Penalty Goals
Freddie Woodman,eng ENG,GK,GK,non_penalty_goals,0.0,Non Penalty Goals
Wataru Endo,jp JPN,DF,DF,non_penalty_goals,0.0,Non Penalty Goals
Trey Nyoni,eng ENG,MF,MF,non_penalty_goals,0.0,Non Penalty Goals
Harvey Elliott,eng ENG,"FW,MF",FW,non_penalty_goals,0.0,Non Penalty Goals
Virgil van Dijk,nl NED,DF,DF,yellow_cards,4.0,Yellow Cards
Dominik Szoboszlai,hu HUN,"MF,DF",MF,yellow_cards,8.0,Yellow Cards
Ibrahima Konaté,fr FRA,DF,DF,yellow_cards,6.0,Yellow Cards
Ryan Gravenberch,nl NED,MF,MF,yellow_cards,5.0,Yellow Cards
Cody Gakpo,nl NED,"MF,FW",MF,yellow_cards,3.0,Yellow Cards
Alexis Mac Allister,ar ARG,MF,MF,yellow_cards,6.0,Yellow Cards
Florian Wirtz,de GER,MF,MF,yellow_cards,1.0,Yellow Cards
Alisson,br BRA,GK,GK,yellow_cards,1.0,Yellow Cards
Milos Kerkez,hu HUN,DF,DF,yellow_cards,4.0,Yellow Cards
Mohamed Salah,eg EGY,MF,MF,yellow_cards,1.0,Yellow Cards
Hugo Ekitike,fr FRA,FW,FW,yellow_cards,0.0,Yellow Cards
Curtis Jones,eng ENG,"MF,DF",MF,yellow_cards,2.0,Yellow Cards
Andrew Robertson,sct SCO,DF,DF,yellow_cards,0.0,Yellow Cards
Jeremie Frimpong,nl NED,"DF,MF",DF,yellow_cards,1.0,Yellow Cards
Conor Bradley,nir NIR,DF,DF,yellow_cards,5.0,Yellow Cards
Giorgi Mamardashvili,ge GEO,GK,GK,yellow_cards,0.0,Yellow Cards
Alexander Isak,se SWE,FW,FW,yellow_cards,0.0,Yellow Cards
Joe Gomez,eng ENG,DF,DF,yellow_cards,3.0,Yellow Cards
Rio Ngumoha,eng ENG,MF,MF,yellow_cards,0.0,Yellow Cards
Federico Chiesa,it ITA,MF,MF,yellow_cards,3.0,Yellow Cards
Freddie Woodman,eng ENG,GK,GK,yellow_cards,0.0,Yellow Cards
Wataru Endo,jp JPN,DF,DF,yellow_cards,1.0,Yellow Cards
Trey Nyoni,eng ENG,MF,MF,yellow_cards,0.0,Yellow Cards
Harvey Elliott,eng ENG,"FW,MF",FW,yellow_cards,0.0,Yellow Cards
Virgil van Dijk,nl NED,DF,DF,red_cards,0.0,Red Cards
Dominik Szoboszlai,hu HUN,"MF,DF",MF,red_cards,1.0,Red Cards
Ibrahima Konaté,fr FRA,DF,DF,red_cards,0.0,Red Cards
Ryan Gravenberch,nl NED,MF,MF,red_cards,0.0,Red Cards
Cody Gakpo,nl NED,"MF,FW",MF,red_cards,0.0,Red Cards
Alexis Mac Allister,ar ARG,MF,MF,red_cards,0.0,Red Cards
Florian Wirtz,de GER,MF,MF,red_cards,0.0,Red Cards
Alisson,br BRA,GK,GK,red_cards,0.0,Red Cards
Milos Kerkez,hu HUN,DF,DF,red_cards,0.0,Red Cards
Mohamed Salah,eg EGY,MF,MF,red_cards,0.0,Red Cards
Hugo Ekitike,fr FRA,FW,FW,red_cards,0.0,Red Cards
Curtis Jones,eng ENG,"MF,DF",MF,red_cards,0.0,Red Cards
Andrew Robertson,sct SCO,DF,DF,red_cards,0.0,Red Cards
Jeremie Frimpong,nl NED,"DF,MF",DF,red_cards,0.0,Red Cards
Conor Bradley,nir NIR,DF,DF,red_cards,0.0,Red Cards
Giorgi Mamardashvili,ge GEO,GK,GK,red_cards,0.0,Red Cards
Alexander Isak,se SWE,FW,FW,red_cards,0.0,Red Cards
Joe Gomez,eng ENG,DF,DF,red_cards,0.0,Red Cards
Rio Ngumoha,eng ENG,MF,MF,red_cards,0.0,Red Cards
Federico Chiesa,it ITA,MF,MF,red_cards,0.0,Red Cards
Freddie Woodman,eng ENG,GK,GK,red_cards,0.0,Red Cards
Wataru Endo,jp JPN,DF,DF,red_cards,0.0,Red Cards
Trey Nyoni,eng ENG,MF,MF,red_cards,0.0,Red Cards
Harvey Elliott,eng ENG,"FW,MF",FW,red_cards,0.0,Red Cards
Virgil van Dijk,nl NED,DF,DF,goals_per90,0.11,Goals Per90
Dominik Szoboszlai,hu HUN,"MF,DF",MF,goals_per90,0.18,Goals Per90
Ibrahima Konaté,fr FRA,DF,DF,goals_per90,0.03,Goals Per90
Ryan Gravenberch,nl NED,MF,MF,goals_per90,0.16,Goals Per90
Cody Gakpo,nl NED,"MF,FW",MF,goals_per90,0.24,Goals Per90
Alexis Mac Allister,ar ARG,MF,MF,goals_per90,0.07,Goals Per90
Florian Wirtz,de GER,MF,MF,goals_per90,0.19,Goals Per90
Alisson,br BRA,GK,GK,goals_per90,0.0,Goals Per90
Milos Kerkez,hu HUN,DF,DF,goals_per90,0.08,Goals Per90
Mohamed Salah,eg EGY,MF,MF,goals_per90,0.31,Goals Per90
Hugo Ekitike,fr FRA,FW,FW,goals_per90,0.55,Goals Per90
Curtis Jones,eng ENG,"MF,DF",MF,goals_per90,0.0,Goals Per90
Andrew Robertson,sct SCO,DF,DF,goals_per90,0.08,Goals Per90
Jeremie Frimpong,nl NED,"DF,MF",DF,goals_per90,0.0,Goals Per90
Conor Bradley,nir NIR,DF,DF,goals_per90,0.0,Goals Per90
Giorgi Mamardashvili,ge GEO,GK,GK,goals_per90,0.0,Goals Per90
Alexander Isak,se SWE,FW,FW,goals_per90,0.39,Goals Per90
Joe Gomez,eng ENG,DF,DF,goals_per90,0.0,Goals Per90
Rio Ngumoha,eng ENG,MF,MF,goals_per90,0.45,Goals Per90
Federico Chiesa,it ITA,MF,MF,goals_per90,0.57,Goals Per90
Freddie Woodman,eng ENG,GK,GK,goals_per90,0.0,Goals Per90
Wataru Endo,jp JPN,DF,DF,goals_per90,0.0,Goals Per90
