source_name,source_file,source_type,notes
FBref match log,"Liverpool Scores and Fixtures, Premier League _ FBref.com.html",Uploaded HTML file,Use for match-level analysis and fixtures.
FBref stats page,"Liverpool Stats, Premier League _ FBref.com.html",Uploaded HTML file,"Use for player-level standard, shooting, playing-time, and misc tables."
