venue,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points,avg_possession,points_per_match
Away,18,7,3,8,27.0,29.0,-2.0,24.0,60.05555555555556,1.3333333333333333
Home,18,10,5,3,33.0,19.0,14.0,35.0,58.77777777777778,1.9444444444444444
