player,nation,position,age,matches_played,starts,minutes,nineties,goals,assists,goals_assists,non_penalty_goals,penalty_goals,penalty_attempts,yellow_cards,red_cards,goals_per90,assists_per90,goals_assists_per90,non_penalty_goals_per90,non_penalty_goals_assists_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_match,minutes_pct,minutes_per_start,complete_matches,sub_appearances,minutes_per_sub,unused_sub,team_points_per_match_when_playing,team_goals_on_pitch,team_goals_against_on_pitch,team_goal_diff_on_pitch,team_goal_diff_per90_on_pitch,team_goal_diff_on_off,second_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalties_won,penalties_conceded,own_goals,primary_position,is_outfield,source
Andrew Robertson,sct SCO,DF,32-061,23,10,1094.0,12.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,9.0,3.0,33.3,0.74,0.25,0.11,0.33,48.0,33.8,80.0,4,13,23.0,13,1.61,21.0,15.0,6.0,0.49,0.24,0.0,4.0,1.0,5.0,48.0,6.0,10.0,,,0.0,DF,True,"FBref Liverpool Stats, Premier League 2025-2026"
Jeremie Frimpong,nl NED,"DF,MF",25-152,20,12,1023.0,11.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09,0.09,0.0,0.09,10.0,2.0,20.0,0.88,0.18,0.0,0.0,51.0,31.6,75.0,4,8,16.0,2,1.5,20.0,13.0,7.0,0.62,0.41,0.0,8.0,21.0,4.0,50.0,6.0,9.0,,,0.0,DF,True,"FBref Liverpool Stats, Premier League 2025-2026"
Conor Bradley,nir NIR,DF,22-306,15,12,929.0,10.3,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.1,0.1,0.0,0.1,6.0,0.0,0.0,0.58,0.0,0.0,,62.0,28.7,70.0,3,3,29.0,1,1.47,11.0,13.0,-2.0,-0.19,-0.74,0.0,18.0,20.0,1.0,23.0,12.0,15.0,,,0.0,DF,True,"FBref Liverpool Stats, Premier League 2025-2026"
Giorgi Mamardashvili,ge GEO,GK,25-224,9,9,777.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,86.0,24.0,86.0,8,0,,25,1.11,11.0,14.0,-3.0,-0.35,-0.9,0.0,1.0,2.0,0.0,0.0,1.0,1.0,,,0.0,GK,False,"FBref Liverpool Stats, Premier League 2025-2026"
Alexander Isak,se SWE,FW,26-232,14,8,699.0,7.8,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.39,0.13,0.52,0.39,0.52,17.0,6.0,35.3,2.19,0.77,0.18,0.5,50.0,21.6,74.0,0,6,17.0,1,1.71,7.0,9.0,-2.0,-0.26,-0.75,0.0,5.0,1.0,0.0,2.0,0.0,6.0,,,0.0,FW,True,"FBref Liverpool Stats, Premier League 2025-2026"
Joe Gomez,eng ENG,DF,28-353,19,6,540.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.33,0.33,0.0,0.33,3.0,1.0,33.3,0.5,0.17,0.0,0.0,28.0,16.7,63.0,2,13,12.0,11,1.74,16.0,12.0,4.0,0.67,0.4,0.0,12.0,0.0,0.0,15.0,8.0,7.0,,,0.0,DF,True,"FBref Liverpool Stats, Premier League 2025-2026"
Rio Ngumoha,eng ENG,MF,17-255,17,3,398.0,4.4,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.45,0.23,0.68,0.45,0.68,11.0,6.0,54.5,2.49,1.36,0.18,0.33,23.0,12.3,66.0,0,14,14.0,18,1.29,13.0,6.0,7.0,1.58,1.42,0.0,3.0,8.0,0.0,15.0,3.0,1.0,,,0.0,MF,True,"FBref Liverpool Stats, Premier League 2025-2026"
Federico Chiesa,it ITA,MF,28-198,25,1,314.0,3.5,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.57,0.29,0.86,0.57,0.86,16.0,4.0,25.0,4.59,1.15,0.13,0.5,13.0,9.7,60.0,0,24,11.0,9,1.44,14.0,7.0,7.0,2.01,1.85,0.0,10.0,6.0,2.0,16.0,4.0,5.0,,,0.0,MF,True,"FBref Liverpool Stats, Premier League 2025-2026"
Freddie Woodman,eng ENG,GK,29-068,3,2,213.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,71.0,6.6,90.0,2,1,33.0,15,2.0,6.0,4.0,2.0,0.85,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,GK,False,"FBref Liverpool Stats, Premier League 2025-2026"
Wataru Endo,jp JPN,DF,33-091,8,1,175.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.51,0.51,0.0,0.51,1.0,0.0,0.0,0.51,0.0,0.0,,22.0,5.4,68.0,0,7,15.0,11,2.0,6.0,5.0,1.0,0.51,0.19,0.0,2.0,3.0,0.0,3.0,0.0,3.0,,,0.0,DF,True,"FBref Liverpool Stats, Premier League 2025-2026"
Trey Nyoni,eng ENG,MF,18-315,5,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.63,0.0,0.0,,3.0,0.5,,0,5,3.0,22,2.6,0.0,1.0,-1.0,-5.63,-5.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,MF,True,"FBref Liverpool Stats, Premier League 2025-2026"
Harvey Elliott,eng ENG,"FW,MF",23-037,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1.0,0.0,,0,1,1.0,2,3.0,1.0,0.0,1.0,90.0,89.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,FW,True,"FBref Liverpool Stats, Premier League 2025-2026"
Giovanni Leoni,it ITA,DF,19-141,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,DF,True,"FBref Liverpool Stats, Premier League 2025-2026"
Kieran Morrison,nir NIR,MF,19-183,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,7,,,,,,,,,,,,,,,,,MF,True,"FBref Liverpool Stats, Premier League 2025-2026"
Amara Nallo,eng ENG,DF,19-174,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,DF,True,"FBref Liverpool Stats, Premier League 2025-2026"
El Hadji Mor Talla Ndiaye,sn SEN,DF,18-125,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,DF,True,"FBref Liverpool Stats, Premier League 2025-2026"
Wellity Omoruyi,es ESP,DF,20-119,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,DF,True,"FBref Liverpool Stats, Premier League 2025-2026"
Ármin Pécsi,hu HUN,GK,21-076,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,GK,False,"FBref Liverpool Stats, Premier League 2025-2026"
Calvin Ramsay,sct SCO,DF,22-284,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,17,,,,,,,,,,,,,,,,,DF,True,"FBref Liverpool Stats, Premier League 2025-2026"
Will Wright,,FW,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,,FW,True,"FBref Liverpool Stats, Premier League 2025-2026"
